Age/year;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992
1;0;0.07;0;0.05;0.79;3.56;0.02;0.1;0.08;2.60;4.14;1.43;0.29;0.81;0.08
2;0.62;0.46;5.47;0.14;9.21;8.31;9.43;4.38;6.93;16.29;11.69;18.89;2.39;12.14;3.35
3;1.32;0.41;1.27;3.78;1.5;4.16;6.22;11.56;4.03;9.09;11.71;12.25;18.26;7.08;4.2
4;2.60;2.21;0.37;3.81;6.38;2.29;12.27;5.96;14.55;2.24;7.25;6.27;20.11;12.96;1.4
5;1.73;7.73;1.98;3.96;6.12;5.55;7.12;3.14;25.35;6.56;2.85;4.44;7.66;12.68;0.84
6;1.01;3.47;3.35;5.74;4.65;4.7;15.45;0.85;20.74;9.87;5.14;2.66;2.46;7.56;0.51
7;0.75;1.93;1.23;4.35;3.49;3.5;4.55;1.56;8.73;6.57;3.69;3.39;0.73;2.42;0.19
8;0.44;1.02;0.5;1.23;4.07;2.13;1.73;0.91;6.67;2.33;1.26;1.55;1;1.07;0.05
9;0.25;0.4;0.21;0.92;1.21;1.6;2.52;0.62;3.69;1.53;0.61;0.77;0.44;0.91;0.02
10;0.19;0.23;0.16;0.36;0.67;0.58;1.8;0.69;0.76;0.75;0.28;0.21;0.26;0.62;0.01
11;0.02;0.31;0.13;0.12;0.32;0.19;0.5;0.87;0.56;0.16;0.28;0.1;0.11;0.06;0.01
12;0.03;0.1;0.08;0.11;0.12;0.15;0.13;1.05;0.69;0.28;0.13;0.05;0.09;0.15;0.01
13;0.01;0.11;0.08;0.05;0.16;0.06;0.11;0.1;0.21;0.12;0.12;0.05;0.03;0.03;0.03
14;0.03;0.23;0.13;0.1;0.08;0.05;0.1;0.18;0.31;0.23;0.26;0.06;0.06;0.03;0.03
